Regret,LQGsigma_higher,LQGmu1_higher,LQGmu1_actor
0.15117943722587057,0.14999999,-1.0,-1.0270102
0.20248295967448726,0.14999999,-0.97979796,-0.87270397
0.28405988771240587,0.14999999,-0.959596,-0.92934656
0.43270580373062373,0.14999999,-0.93939394,-1.0660734
0.5648997172226835,0.14999999,-0.9191919,-0.97884804
0.5830156240887021,0.14999999,-0.8989899,-0.8383131
0.7204935539050652,0.14999999,-0.8787879,-0.990498
0.8084496481300114,0.14999999,-0.85858583,-0.927676
0.8673880795393849,0.14999999,-0.83838385,-0.8774134
0.7987562583550911,0.14999999,-0.8181818,-0.60686696
0.8626922611373544,0.14999999,-0.7979798,-0.90375674
0.8634636942575469,0.14999999,-0.7777778,-0.8066016
0.8548061659158641,0.14999999,-0.75757575,-0.7859937
0.9094130593912517,0.14999999,-0.7373737,-0.8873067
0.890158378420427,0.14999999,-0.7171717,-0.71553016
0.8693204263219627,0.14999999,-0.6969697,-0.5903591
0.8500247249251132,0.14999999,-0.67676765,-0.75936896
0.8029372526143987,0.14999999,-0.65656567,-0.68870825
0.8058358213166912,0.14999999,-0.6363636,-0.4686849
0.8191171192645257,0.14999999,-0.61616164,-0.40272233
0.7641475601139511,0.14999999,-0.5959596,-0.5757984
0.7498818113603036,0.14999999,-0.57575756,-0.4631447
0.700245077602542,0.14999999,-0.5555556,-0.5151147
0.6717742827204667,0.14999999,-0.53535354,-0.47727966
0.6638534552883151,0.14999999,-0.5151515,-0.49885562
0.6412542550817797,0.14999999,-0.4949495,-0.5367932
0.5719684716740403,0.14999999,-0.47474748,-0.56167287
0.6310102487613491,0.14999999,-0.45454547,-0.36823314
0.6062210413683964,0.14999999,-0.43434343,-0.4811541
0.5818664106312958,0.14999999,-0.41414142,-0.4538188
0.6990710772936239,0.14999999,-0.3939394,-0.3340716
5.741893825492525,0.14999999,-0.37373737,-0.021864682
8.756406276542231,0.14999999,-0.35353535,-0.059948057
9.602476829877679,0.14999999,-0.33333334,-0.14400515
10.739963830810956,0.14999999,-0.3131313,-0.141291
10.726028791717047,0.14999999,-0.2929293,-0.4464199
11.134463539850563,0.14999999,-0.27272728,-0.21515852
19.438474173245528,0.14999999,-0.25252524,0.08026999
25.629859168162078,0.14999999,-0.23232323,-0.015797079
26.429737858046867,0.14999999,-0.21212122,-0.16703543
27.523551867443363,0.14999999,-0.1919192,-0.14411348
28.48673635753776,0.14999999,-0.17171717,-0.14943472
30.02695776366801,0.14999999,-0.15151516,-0.11145059
32.676054512129376,0.14999999,-0.13131313,-0.062357306
33.760167169578324,0.14999999,-0.11111111,-0.123455726
33.95883014925096,0.14999999,-0.09090909,-0.29723394
42.25441803758505,0.14999999,-0.07070707,0.074284375
50.5673661111059,0.14999999,-0.05050505,0.086167894
51.62782691123515,0.14999999,-0.030303031,-0.15924552
51.87190104510593,0.14999999,-0.01010101,-0.28354344
53.6869623637563,0.14999999,0.01010101,-0.09576035
62.03415127117962,0.14999999,0.030303031,0.10576253
70.4206545414525,0.14999999,0.05050505,0.12451411
78.71492311753184,0.14999999,0.07070707,0.073302545
